Nom;Modèle;Marque;Capacité;RAM;Connectivité;Couleur;norm;tokens;EAN;PartNumber
+ frais de transport chrono;+ frais de transport chrono;;;;;;+ frais de transport chrono;{'de', '+', 'frais', 'chrono', 'transport'};;
Abonnement forfait convergence;Abonnement forfait convergence;;;;;;abonnement forfait convergence;{'abonnement', 'convergence', 'forfait'};;
Acompte;Acompte;;;;;;acompte;{'acompte'};;
activation de SIM;activation de SIM;;;;;;activation de sim;{'sim', 'de', 'activation'};;
Apple AirPods 3rd Gen. with Lightning Charging Case White;AirPods 3rd Gen.;Apple;;;;White;apple airpods 3rd gen. with lightning charging case white;{'lightning', 'case', 'airpods', 'with', 'gen.', 'charging', 'white', '3rd', 'apple'};194253324171;
Apple AirPods 3rd Gen. with MagSafe Charging Case White;AirPods 3rd Gen.;Apple;;;;White;apple airpods 3rd gen. with magsafe charging case white;{'case', 'airpods', 'with', 'gen.', 'charging', 'white', 'magsafe', '3rd', 'apple'};194252818527;
Apple AirPods 4 ANC White;AirPods 4;Apple;;;;White;apple airpods 4 anc white;{'4', 'airpods', 'anc', 'white', 'apple'};195949689673;
Apple AirPods 4 White;AirPods 4;Apple;;;;White;apple airpods 4 white;{'white', '4', 'airpods', 'apple'};195949688591;
Apple Airpods Max (USB-C) Blue;Airpods Max;Apple;;;;Blue;apple airpods max usb c blue;{'usb', 'airpods', 'max', 'c', 'blue', 'apple'};;
Apple Airpods Max (USB-C) Midnight;Airpods Max;Apple;;;;Midnight;apple airpods max usb c midnight;{'usb', 'airpods', 'max', 'c', 'midnight', 'apple'};;
Apple Airpods Max (USB-C) Orange;Airpods Max;Apple;;;;Orange;apple airpods max usb c orange;{'usb', 'orange', 'airpods', 'max', 'c', 'apple'};195949544446;
Apple Airpods Max (USB-C) Purple;Airpods Max;Apple;;;;Purple;apple airpods max usb c purple;{'usb', 'airpods', 'purple', 'max', 'c', 'apple'};;
Apple Airpods Max (USB-C) Starlight;Airpods Max;Apple;;;;Starlight;apple airpods max usb c starlight;{'usb', 'starlight', 'airpods', 'max', 'c', 'apple'};;
Apple AirPods Pro 2nd Gen. with MagSafe Charging Case (Lightning) White;AirPods Pro 2nd Gen.;Apple;;;;White;apple airpods pro 2nd gen. with magsafe charging case lightning white;{'lightning', 'case', 'airpods', 'with', 'gen.', 'charging', '2nd', 'white', 'pro', 'magsafe', 'apple'};194253397472;
Apple AirPods Pro 2nd Gen. with MagSafe Charging Case (USB-C) White;AirPods Pro 2nd Gen.;Apple;;;;White;apple airpods pro 2nd gen. with magsafe charging case usb c white;{'usb', 'case', 'airpods', 'with', 'gen.', 'charging', 'c', '2nd', 'white', 'pro', 'magsafe', 'apple'};195949704529;
Apple AirPods Pro with MagSafe Charging Case White;AirPods Pro;Apple;;;;White;apple airpods pro with magsafe charging case white;{'case', 'airpods', 'with', 'charging', 'white', 'pro', 'magsafe', 'apple'};194252721384;
Apple AirTag 1 Pack White;1;Apple;;;;White;apple airtag 1 pack white;{'apple', '1', 'white', 'pack', 'airtag'};190199535039;
Apple Airtag 4 Pack White;4;Apple;;;;White;apple airtag 4 pack white;{'apple', '4', 'white', 'pack', 'airtag'};190199535046;
Apple câble USB C/USB C (60W) - 1M white - MQKJ3ZM/A;C/USB C - 1M - MQKJ3ZM/A;Apple;;;;White;apple câble usb c usb c 60w 1m white mqkj3zm a;{'usb', '60w', 'câble', 'c', 'white', 'a', '1m', 'mqkj3zm', 'apple'};;
Apple chargeur 20W USB-C - MUVV3ZM/A;20W - MUVV3ZM/A;Apple;;;;;apple chargeur 20w usb c muvv3zm a;{'usb', '20w', 'muvv3zm', 'c', 'chargeur', 'a', 'apple'};;
