id;name;id;insert into internal_products (odoo_id,product_id);insert into products (id,description)
__export__.product_template_19576_70cd7837;Amazfit Bip U Pro Pink;1;"('__export__.product_template_19576_70cd7837',1);";"(1,'Amazfit Bip U Pro Pink');"
__export__.product_template_24727_7ed74ddf;Amazon Fire TV Stick 2.Gen WiFi 4K;2;"('__export__.product_template_24727_7ed74ddf',2);";"(2,'Amazon Fire TV Stick 2.Gen WiFi 4K');"
__export__.product_template_24645_5a44c4ae;Apple AirPods 2nd Gen. with Lightning Charging Case White;3;"('__export__.product_template_24645_5a44c4ae',3);";"(3,'Apple AirPods 2nd Gen. with Lightning Charging Case White');"
__export__.product_template_14603_a3dbc335;Apple AirPods 3rd Gen. with Lightning Charging Case White;4;"('__export__.product_template_14603_a3dbc335',4);";"(4,'Apple AirPods 3rd Gen. with Lightning Charging Case White');"
__export__.product_template_14613_4b3b6354;Apple AirPods 3rd Gen. with MagSafe Charging Case White;5;"('__export__.product_template_14613_4b3b6354',5);";"(5,'Apple AirPods 3rd Gen. with MagSafe Charging Case White');"
__export__.product_template_19552_6fa1a839;Apple AirPods 4 ANC White;6;"('__export__.product_template_19552_6fa1a839',6);";"(6,'Apple AirPods 4 ANC White');"
__export__.product_template_14595_8e03e4d3;Apple AirPods 4 White;7;"('__export__.product_template_14595_8e03e4d3',7);";"(7,'Apple AirPods 4 White');"
__export__.product_template_24210_00313f1f;Apple AirPods Pro 2nd Gen. with MagSafe Charging Case (Lightning) White;8;"('__export__.product_template_24210_00313f1f',8);";"(8,'Apple AirPods Pro 2nd Gen. with MagSafe Charging Case (Lightning) White');"
__export__.product_template_23523_adbfdeb4;Apple AirPods Pro 2nd Gen. with MagSafe Charging Case (USB-C) White;9;"('__export__.product_template_23523_adbfdeb4',9);";"(9,'Apple AirPods Pro 2nd Gen. with MagSafe Charging Case (USB-C) White');"
__export__.product_template_24825_8bba3695;Apple AirPods Pro 3rd Gen. with MagSafe Charging Case (USB-C) White;10;"('__export__.product_template_24825_8bba3695',10);";"(10,'Apple AirPods Pro 3rd Gen. with MagSafe Charging Case (USB-C) White');"
